,,,,,, ,,Updated on:,8/13/2026 1:26 PM,,,5957,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cases Available,Reserved,Comments,Net Available,Expiration Date,,
20720,PECORINO PISTACCHIO WW,0,,,,not interesting for the stock,,40103,PECORINO ROMANO PDO WHOLE WHEEL,631164144,ETA 9/1,#45,,,"2,433.98",Aug-27,,
20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,48,,,,keep 25 in stock,,40104,PECORINO ROMANO PDO 1/4 WHEEL,1266069,01/16/2026,10,,,595.194,10/09/2026,,
30009,ITALIAN CHEESE FLIGHT GREEN,0,,,,not interesting for the stock,,40104,PECORINO ROMANO PDO 1/4 WHEEL,1266067,01/16/2026,36,,,2132.759,10/10/2026,,
30010,ITALIAN CHEESE FLIGHT YELLOW,0,,,,not interesting for the stock,,40105,PECORINO GRANGLONA CHEESE,1296184,05/15/2026,22,1,Di Palo 0814,673.58,04/10/2027,,
30011,ITALIAN CHEESE FLIGHT RED,0,,,,not interesting for the stock,,40109,PIAVE VECCHIO PDO > 6 MONTHS,1255287,12/05/2025,9,9,DIPALO HOLIDAY,121.25,11/08/2026,,
30014,APERICHEESE YELLOW ,0,,,,product ready? NEW,,40130,MONTASIO CHEESE PDO 1/4 WHEEL,1308186,07/03/2026,18,,,246.59,02/04/2027,,
30015,APERICHEESE RED,0,,,,product ready? NEW,,40158,PIAVE VECCHIO PDO >12 MONTHS,1312794,07/23/2026,24,,,299.33,06/21/2027,,
30016,APREICHEESE ORANGE,0,,,,product ready? NEW,,40158,PIAVE VECCHIO PDO >12 MONTHS,630157210,ETA 8/25,#30,,,387.02,Jul-27,,
30017,APERICHEESE WHITE,0,,,,product ready? NEW,,40169,RICOTTA SALATA V.P.,269458810,ETA 9/1,#6,,,92.15,May-27,,
40020,MONTASIO CHEESE WHOLE WHEEL,0,,,,do we have <25?,,40174,PECORINO TOSCANO PDO WW,1304225,06/18/2026,71,,Selected,578.85,02/04/2027,,
40086,MONTASIO PDO 7OZ,0,,,,"problem with the label for USA, no project in the moment for this ITEM",,40174,PECORINO TOSCANO PDO WW,1312779,07/23/2026,80,,Selected,752.74,02/17/2027,,
40103,PECORINO ROMANO PDO WHOLE WHEEL,2,,,,keep 1-2 pallet in stock,,40174,PECORINO TOSCANO PDO WW,TF205175,ETA 8/25,#80,,,780.06,Mar-27,,
40104,PECORINO ROMANO PDO 1/4 WHEEL,46,,,,keep 1-2 pallet in stock,,01032,SHARP PROVOLONE,1308182,07/03/2026,19,5,Cheese Importers 86070,289.641,02/04/2027,,
40105,PECORINO GRANGLONA CHEESE,21,,,,Selected - waiting for feedback,,01034,SMOKED PROVOLONE 4.4 LBS,"140726208, 150726209",ETA 8/25,#72,72,SK PO0282170,"1,418.17",Dec-26,,
40107,PIAVE MEZZANO PDO WHOLE WHEEL,0,,,,,,01034,SMOKED PROVOLONE 4.4 LBS,160726209,ETA 8/25,#72,72,SK PO0282170,"1,408.38",Dec-26,,
40109,PIAVE VECCHIO PDO > 6 MONTHS,0,,,,,,01034,SMOKED PROVOLONE 4.4 LBS,"160726209, 220726209",ETA 8/25,#73,72,SK PO0282170,"1,434.47",Dec-26,,
40130,MONTASIO CHEESE PDO 1/4 WHEEL,18,,,,main Customer Ace Endico,,01034,SMOKED PROVOLONE 4.4 LBS,"050826223, 060826224",ETA 9/1,#72,72,SK PO0282170 ??,"1,420.96",Jan-27,,
40140,RICOTTA SALATA SAPORITA,0,,,,not interesting for the stock,,01186,SMOKED PROVOLONE CYLINDER,1316556,08/06/2026,71,52,Veroni 22-26C or SK??,"1,016.29",03/12/2027,,
40158,PIAVE VECCHIO PDO > 12 MONTHS Selezione Oro,24,,,,"Ace Endico, 30 in stock? ",,01186,SMOKED PROVOLONE CYLINDER,30826222,ETA 9/1,#72,,,"1,028.10",Apr-27,,
40163,RICOTTA SALATA 7OZ,0,,,,we don't have project right now,,01269,PROVOLONE PICCANTE WITH TRICOLORE ROPE,269458809,ETA 9/1,#20,,,399.88,Apr-27,,
40167,PECORINO ROMANO 5.3 OZ,0,,,,,,01299,MILD PROVOLONE STICK,269500516,ETA 8/25,#72,72,Veroni 2000068809,"1,081.13",Dec-26,,
