,,,,,, ,,Updated on:,9/17/2026 10:51,,,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cs Avail,Reserved,Comments,Net Avail,Exp Date,
40169,RICOTTA SALATA V.P.,6,,,,Main customer DeKalb,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1312777,07/23/2026,21,,,126.778,02/24/2027,
40174,PECORINO TOSCANO PDO WW,151,,,,Selected ,,04046,VEZZENA CHEESE AGED 1/4 WHEEL,1296206,05/15/2026,19,,,94.93,12/16/2026,
40175,PECORINO TOSCANO PDO WW AGED,40,,,,Selected ,,04145,LAGORAI CHEESE 1/4 WHEEL,1296205,05/15/2026,15,10,Lettieri 3302,101.768,12/16/2026,
0001,CHRISTMAS GIFT BOX ,0,,,,"only for Christmas (boxes to add to the orders in November, or to send per FedEx)",,04154,LAGORAI CHEESE WHOLE WHEEL,1248589,11/12/2025,5,,,150.63,09/13/2026,
,,,,,,,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),1328728,09/24/2026,127,,,670.56,04/30/2027,
,,,,,,,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),1328703,09/24/2026,144,,,760.32,04/29/2027,
,,,,,,,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),1316549,08/06/2026,71,48,KeHE 3898594,374.88,03/11/2027,
,,,,,,,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),269381429,ETA 10/08,48,,,253.44,May-27,
,,,,,,,,04181,VEZZENA CHEESE AGED WHOLE WHEEL,1296208,05/15/2026,14,,,284.525,04/15/2027,
,,,,,,,,04211,ALPEGGIO CHEESE 7 OZ EW,1316566,08/06/2026,12,12,Lettieri 003302,63.36,03/11/2027,
,,,,,,,,05001,GRANA PADANO PDO WHOLE WHEEL,1312775,07/23/2026,28,,,2314.77,06/18/2027,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1322677,09/01/2026,104,104,Gordon 4514914235,2259.24,03/24/2027,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1322678,09/01/2026,104,104,Gordon 4514914235,2220.76,03/24/2027,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1322679,09/01/2026,104,104,Gordon 4514914235,2256.08,03/24/2027,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1322680,09/01/2026,104,,,2258.6,03/24/2027,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1316559,08/06/2026,104,,,2182.04,03/06/2027,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1316569,08/06/2026,104,,,2230.52,03/06/2027,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1316570,08/06/2026,104,,,2184.26,03/06/2027,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1316572,08/06/2026,104,,,2193.57,03/06/2027,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1316573,08/06/2026,104,,,2181.06,03/06/2027,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1312765,07/23/2026,104,,,2240.29,02/20/2027,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1312771,07/23/2026,104,,,2252.32,02/20/2027,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1312792,07/23/2026,108,,,2345.59,02/20/2027,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308162,07/03/2026,104,,,2149.43,01/31/2027,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308167,07/03/2026,104,,,2182.45,01/31/2027,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308161,07/03/2026,40,,,836.656,01/30/2027,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308176,07/03/2026,104,,,2224.38,01/30/2027,
,,,,,,,,05012,GRANA PADANO PDO HOR. CUT,1296216,05/15/2026,14,,,589.076,12/16/2026,
,,,,,,,,05012,GRANA PADANO PDO HOR. CUT,1296217,05/15/2026,16,,,673.23,12/16/2026,
,,,,,,,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,1328699,09/24/2026,99,,,"2,241.95",08/20/2027,
,,,,,,,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,1328708,09/24/2026,99,,,"2,183.69",08/20/2027,
,,,,,,,,05033,PARMIGIANO REGGIANO PDO WW (24 MONTHS),1324224,09/04/2026,10,,,881.02,08/05/2027,
